ID,RA,e_RA,DEC,e_DEC,Sint,e_Sint,Spk,e_Spk,MAJAX,e_MAJAX,MINAX,e_MINAX,PA,e_PA,Island_RMS,S_Code,Mosaic_Name
J122806.8+501729,187.0287,2.0,50.29152,2.0,151.4,15.9,130.5,13.4,27.5,0.6,26.4,0.6,-30.6,21.3,2.9,S,R38D64
J122812.2+494821,187.05109,2.0,49.80592,2.0,404.5,40.8,371.1,37.2,26.4,0.2,25.8,0.2,4.5,12.7,2.9,S,R38D64
J122815.0+513705,187.06287,2.3,51.6183,2.4,40.4,6.2,29.9,4.2,31.2,3.3,27.0,2.5,33.2,29.9,2.8,S,R38D64
J122822.3+501138,187.09306,2.3,50.19416,2.4,37.2,6.1,28.4,4.1,30.0,3.3,27.3,2.8,-5.2,47.8,2.9,S,R38D64
J122832.4+504822,187.13518,2.1,50.80625,2.1,58.3,7.4,49.6,5.7,28.7,1.7,25.6,1.3,-41.4,20.7,2.6,S,R38D64
J122838.2+514744,187.15948,2.2,51.79571,2.5,41.7,6.3,31.9,4.3,33.7,3.6,24.3,1.9,-9.6,13.3,2.8,S,R38D64
J122841.6+501344,187.17337,2.4,50.2289,3.1,31.8,5.7,22.1,3.8,35.4,5.6,25.4,3.1,-15.1,19.8,2.9,S,R38D64
J122848.3+511602,187.2016,2.0,51.26738,2.0,446.5,45.3,200.2,20.2,39.2,0.6,33.8,0.5,-57.1,4.6,2.7,M,R38D64
J122849.9+495653,187.20805,2.0,49.94829,2.0,174.7,18.1,124.4,12.8,31.2,0.8,28.1,0.7,37.7,10.0,2.9,S,R38D64
J122851.7+485801,187.2155,2.0,48.96714,2.0,1426.8,142.8,1340.4,134.1,26.0,0.1,25.6,0.1,70.7,8.2,3.3,S,R38D63
J122852.5+490431,187.21877,2.0,49.07552,2.0,413.9,41.8,383.0,38.4,26.2,0.2,25.8,0.2,-20.8,27.4,3.3,S,R38D63
J122856.4+490214,187.23521,2.0,49.03746,2.0,184.0,19.2,154.0,15.8,29.4,0.7,25.4,0.5,55.5,8.2,3.3,S,R38D63
J122858.2+512850,187.24258,2.1,51.48081,2.1,51.5,7.0,51.3,5.8,25.6,1.4,24.5,1.3,53.8,52.8,2.7,S,R38D64
J122903.8+521036,187.26604,2.2,52.17669,2.3,40.4,6.3,33.4,4.5,29.2,2.7,25.9,2.2,23.8,31.2,2.8,S,R38D64
J122904.4+501009,187.26866,2.4,50.1694,2.3,44.0,6.5,30.9,4.4,31.8,3.4,28.0,2.7,-68.1,34.0,2.9,S,R38D64
J122921.2+490731,187.33833,2.0,49.12552,2.0,114.6,12.6,101.4,10.6,27.0,0.9,26.2,0.8,-15.5,45.8,3.1,S,R38D63
J122921.7+514705,187.34052,2.0,51.78481,2.0,1220.2,122.2,967.9,96.8,29.8,0.1,27.4,0.1,41.2,1.6,2.8,M,R38D64
